17/07/2019 - 12:11:59 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:11:59 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:11:59 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:12:00 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:12:00 AM	[HURT] BexGasm(Admin On Duty) hurt Blumbing(Citizen) with 3 damage using fas2_galil
17/07/2019 - 12:12:00 AM	[HURT] BexGasm(Admin On Duty) hurt Blumbing(Citizen) with 27 damage using fas2_galil
17/07/2019 - 12:12:00 AM	[KILL] BexGasm(Admin On Duty) killed Blumbing(Citizen) with 27 damage using fas2_galil
17/07/2019 - 12:12:02 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:12:04 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:12:06 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:12:07 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:12:08 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:12:11 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:12:11 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) spawned a 'models/props_building_details/storefront_template001a_bars.mdl'
17/07/2019 - 12:12:11 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) spawned a 'models/props_building_details/storefront_template001a_bars.mdl'
17/07/2019 - 12:12:11 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) spawned a 'models/props_building_details/storefront_template001a_bars.mdl'
17/07/2019 - 12:12:11 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) spawned a 'models/props_building_details/storefront_template001a_bars.mdl'
17/07/2019 - 12:12:15 AM	BexGasm(Admin On Duty) entered 'gm_giveswep'
17/07/2019 - 12:12:18 AM	BexGasm(Admin On Duty) entered 'gm_giveswep'
17/07/2019 - 12:12:19 AM	BexGasm(Admin On Duty) entered 'gm_giveswep'
17/07/2019 - 12:12:21 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:12:21 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) spawned a 'models/props_building_details/storefront_template001a_bars.mdl'
17/07/2019 - 12:12:21 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) spawned a 'models/props_building_details/storefront_template001a_bars.mdl'
17/07/2019 - 12:12:21 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) spawned a 'models/props_building_details/storefront_template001a_bars.mdl'
17/07/2019 - 12:12:21 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) spawned a 'models/props_building_details/storefront_template001a_bars.mdl'
17/07/2019 - 12:12:23 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:12:24 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) spawned a 'models/props_building_details/storefront_template001a_bars.mdl'
17/07/2019 - 12:12:24 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) spawned a 'models/props_building_details/storefront_template001a_bars.mdl'
17/07/2019 - 12:12:24 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) spawned a 'models/props_building_details/storefront_template001a_bars.mdl'
17/07/2019 - 12:12:24 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) spawned a 'models/props_building_details/storefront_template001a_bars.mdl'
17/07/2019 - 12:12:30 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:12:30 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) spawned a 'models/props_building_details/storefront_template001a_bars.mdl'
17/07/2019 - 12:12:30 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) spawned a 'models/props_building_details/storefront_template001a_bars.mdl'
